,trial 1 ,trial 2,trial  3,trial 4 ,trial 5 ,trial 6,trial 7 ,trial 8 ,trial 9
easy,0.563,0.489,0.527,0.589,0.522,0.535,0.534,0.561,0.521
easy/mod,2.563,1.989,1.527,1.789,1.822,1.935,1.734,0.561,2.701
